anonymized_packet_key,semantic_faithfulness,code_consistency,proof_utility,vacuity_label,coverage_label,covered_units,partial_units,missing_units,contradiction_signal,notes
hs_001,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=arrays_binary_search_001; anchor=371
hs_198,3,3,1,non_vacuous,failed,,,SU1|SU2,0,independent strict second pass; source_template=sorting_insertion_sort_003; anchor=215
hs_199,2,3,1,non_vacuous,full,SU1|SU2,,,0,independent strict second pass; source_template=sorting_insertion_sort_004; anchor=613
hs_200,2,3,2,non_vacuous,partial,SU1,,SU2,0,independent strict second pass; source_template=sorting_insertion_sort_004; anchor=693
hs_201,2,3,1,non_vacuous,partial,,SU1,SU2,0,independent strict second pass; source_template=sorting_insertion_sort_004; anchor=634
hs_202,3,3,1,non_vacuous,partial,,SU1,SU2,0,independent strict second pass; source_template=sorting_insertion_sort_004; anchor=501
hs_203,2,3,1,non_vacuous,partial,,SU1,SU2,0,independent strict second pass; source_template=sorting_insertion_sort_005; anchor=129
hs_204,3,3,1,non_vacuous,partial,,SU1,SU2,0,independent strict second pass; source_template=sorting_insertion_sort_005; anchor=279
hs_205,2,3,1,non_vacuous,partial,,SU1,SU2,0,independent strict second pass; source_template=sorting_insertion_sort_006; anchor=720
hs_206,3,3,1,non_vacuous,partial,,SU1,SU2,0,independent strict second pass; source_template=sorting_insertion_sort_006; anchor=494
hs_207,2,3,1,non_vacuous,partial,,SU1,SU2,0,independent strict second pass; source_template=sorting_insertion_sort_007; anchor=492
hs_208,3,3,1,non_vacuous,partial,,SU1,SU2,0,independent strict second pass; source_template=sorting_insertion_sort_007; anchor=933
hs_209,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=sorting_merge_sort_001; anchor=776
hs_210,3,3,2,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=sorting_merge_sort_001; anchor=490
hs_211,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=sorting_merge_sort_001; anchor=526
hs_212,3,3,0,non_vacuous,failed,,,SU1|SU2|SU3,0,independent strict second pass; source_template=sorting_merge_sort_001; anchor=130
hs_213,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=sorting_merge_sort_002; anchor=26
hs_214,3,3,2,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=sorting_merge_sort_002; anchor=970
hs_215,3,3,1,non_vacuous,failed,,,SU1|SU2|SU3,0,independent strict second pass; source_template=sorting_merge_sort_002; anchor=826
hs_216,2,3,1,non_vacuous,failed,,,SU1|SU2|SU3,0,independent strict second pass; source_template=sorting_merge_sort_002; anchor=874
hs_217,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=sorting_merge_sort_003; anchor=480
hs_218,3,3,2,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=sorting_merge_sort_003; anchor=293
hs_219,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=sorting_merge_sort_003; anchor=608
hs_220,3,3,1,non_vacuous,failed,,,SU1|SU2|SU3,0,independent strict second pass; source_template=sorting_merge_sort_003; anchor=881
hs_221,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=sorting_merge_sort_004; anchor=402
hs_222,3,3,2,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=sorting_merge_sort_004; anchor=571
hs_223,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=sorting_merge_sort_004; anchor=730
hs_224,3,3,1,non_vacuous,partial,,SU1,SU2|SU3,0,independent strict second pass; source_template=sorting_merge_sort_004; anchor=573
hs_225,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=sorting_merge_sort_005; anchor=881
hs_226,3,3,1,non_vacuous,partial,,SU1,SU2|SU3,0,independent strict second pass; source_template=sorting_merge_sort_005; anchor=896
hs_227,2,3,1,non_vacuous,partial,,SU1,SU2|SU3,0,independent strict second pass; source_template=sorting_merge_sort_005; anchor=790
hs_228,3,3,1,non_vacuous,partial,,SU1,SU2|SU3,0,independent strict second pass; source_template=sorting_merge_sort_006; anchor=782
hs_229,3,3,1,non_vacuous,partial,,SU1,SU2|SU3,0,independent strict second pass; source_template=sorting_merge_sort_007; anchor=479
hs_230,2,3,1,non_vacuous,partial,,SU1,SU2|SU3,0,independent strict second pass; source_template=sorting_merge_sort_007; anchor=796
hs_231,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=trees_bst_insert_001; anchor=223
hs_232,3,3,2,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=trees_bst_insert_001; anchor=94
hs_233,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=trees_bst_insert_001; anchor=672
hs_234,2,3,1,non_vacuous,failed,,,SU1|SU2|SU3,0,independent strict second pass; source_template=trees_bst_insert_001; anchor=565
hs_235,3,3,1,non_vacuous,partial,SU1|SU2,,SU3,0,independent strict second pass; source_template=trees_bst_insert_002; anchor=960
hs_236,3,2,2,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=trees_bst_insert_002; anchor=719
hs_237,2,3,1,non_vacuous,failed,,,SU1|SU2|SU3,0,independent strict second pass; source_template=trees_bst_insert_002; anchor=859
hs_238,2,3,1,non_vacuous,failed,,,SU1|SU2|SU3,0,independent strict second pass; source_template=trees_bst_insert_002; anchor=967
hs_239,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=trees_bst_insert_003; anchor=281
hs_240,3,3,2,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=trees_bst_insert_003; anchor=453
hs_241,3,3,2,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=trees_bst_insert_003; anchor=363
hs_242,2,3,1,non_vacuous,failed,,,SU1|SU2|SU3,0,independent strict second pass; source_template=trees_bst_insert_003; anchor=67
hs_243,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=trees_bst_insert_004; anchor=398
hs_244,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=trees_bst_insert_004; anchor=954
hs_245,1,3,1,non_vacuous,partial,,SU3,SU1|SU2,0,independent strict second pass; source_template=trees_bst_insert_004; anchor=417
hs_246,3,3,2,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=trees_bst_insert_005; anchor=590
hs_247,2,3,1,non_vacuous,partial,,SU1|SU3,SU2,0,independent strict second pass; source_template=trees_bst_insert_005; anchor=973
hs_248,2,3,1,non_vacuous,partial,,SU1,SU2|SU3,0,independent strict second pass; source_template=trees_bst_insert_005; anchor=104
hs_249,2,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=trees_bst_insert_006; anchor=140
hs_250,2,3,1,non_vacuous,partial,,SU3,SU1|SU2,0,independent strict second pass; source_template=trees_bst_insert_006; anchor=604
hs_251,2,3,1,non_vacuous,partial,,SU1|SU3,SU2,0,independent strict second pass; source_template=trees_bst_insert_007; anchor=162
hs_252,2,3,1,non_vacuous,partial,,SU1,SU2|SU3,0,independent strict second pass; source_template=trees_bst_insert_007; anchor=692
hs_253,2,3,1,non_vacuous,partial,SU1|SU2,SU4,SU3,0,independent strict second pass; source_template=trees_lowest_common_ancestor_001; anchor=197
hs_254,2,3,2,vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=trees_lowest_common_ancestor_001; anchor=686
hs_255,1,3,1,non_vacuous,failed,,,SU1|SU2|SU3|SU4,0,independent strict second pass; source_template=trees_lowest_common_ancestor_001; anchor=317
hs_256,2,3,1,non_vacuous,failed,,,SU1|SU2|SU3|SU4,0,independent strict second pass; source_template=trees_lowest_common_ancestor_001; anchor=330
hs_257,2,3,1,non_vacuous,partial,SU1|SU2,SU4,SU3,0,independent strict second pass; source_template=trees_lowest_common_ancestor_002; anchor=779
hs_258,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=trees_lowest_common_ancestor_002; anchor=624
hs_259,2,3,1,non_vacuous,failed,,,SU1|SU2|SU3|SU4,0,independent strict second pass; source_template=trees_lowest_common_ancestor_002; anchor=24
hs_260,2,3,1,non_vacuous,failed,,,SU1|SU2|SU3|SU4,0,independent strict second pass; source_template=trees_lowest_common_ancestor_002; anchor=626
hs_261,2,3,1,non_vacuous,partial,SU1|SU2,SU4,SU3,0,independent strict second pass; source_template=trees_lowest_common_ancestor_003; anchor=54
hs_262,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=trees_lowest_common_ancestor_003; anchor=724
hs_263,3,3,1,non_vacuous,failed,,,SU1|SU2|SU3|SU4,0,independent strict second pass; source_template=trees_lowest_common_ancestor_003; anchor=21
hs_264,2,3,1,non_vacuous,failed,,,SU1|SU2|SU3|SU4,0,independent strict second pass; source_template=trees_lowest_common_ancestor_003; anchor=525
hs_265,2,3,1,non_vacuous,partial,SU1|SU2,SU4,SU3,0,independent strict second pass; source_template=trees_lowest_common_ancestor_004; anchor=9
hs_266,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=trees_lowest_common_ancestor_004; anchor=578
hs_267,3,3,1,non_vacuous,partial,,SU3|SU4,SU1|SU2,0,independent strict second pass; source_template=trees_lowest_common_ancestor_004; anchor=757
hs_268,2,3,1,non_vacuous,partial,,SU3,SU1|SU2|SU4,0,independent strict second pass; source_template=trees_lowest_common_ancestor_004; anchor=669
hs_269,2,3,1,non_vacuous,partial,,SU1|SU3|SU4,SU2,0,independent strict second pass; source_template=trees_lowest_common_ancestor_005; anchor=376
hs_270,3,3,1,non_vacuous,failed,,,SU1|SU2|SU3|SU4,0,independent strict second pass; source_template=trees_lowest_common_ancestor_005; anchor=489
hs_271,2,3,1,non_vacuous,partial,,SU3|SU4,SU1|SU2,0,independent strict second pass; source_template=trees_lowest_common_ancestor_006; anchor=372
hs_272,2,3,1,non_vacuous,partial,,SU3,SU1|SU2|SU4,0,independent strict second pass; source_template=trees_lowest_common_ancestor_006; anchor=533
hs_273,2,3,1,non_vacuous,partial,,SU1|SU3|SU4,SU2,0,independent strict second pass; source_template=trees_lowest_common_ancestor_007; anchor=544
hs_274,2,3,1,non_vacuous,failed,,,SU1|SU2|SU3|SU4,0,independent strict second pass; source_template=trees_lowest_common_ancestor_007; anchor=632
